time,step,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
0.06,10,31.833332,6.6,0.0,6.9997888,-6.537899e-05,1.6365084e-06,6.253900210140273e-06,-1.559431984787807e-05,-5.636028049593733e-06
0.06,10,32.0,6.6,0.0,6.9997916,-6.41265e-05,1.603592e-06,7.904862286522985e-06,5.081492417957634e-06,-2.220832357124891e-06
0.06,10,32.166668,6.6,0.0,6.999795,-6.290972e-05,1.5658443e-06,1.0232914064545184e-05,6.398477125912905e-08,-4.7524252977382275e-07
0.06,10,32.333332,6.6,0.0,6.9997973,-6.171535e-05,1.5276892e-06,-1.025887468131259e-05,1.4624587493017316e-05,-6.129305859303713e-06
0.06,10,32.5,6.6,0.0,6.9998,-6.0553153e-05,1.4920661e-06,-6.203161319717765e-06,-3.884415491484106e-06,5.897140340493934e-06
0.06,10,32.666668,6.6,0.0,6.9998026,-5.9411268e-05,1.4598772e-06,-8.507457096129656e-06,-7.703230949118733e-06,-6.545393489432172e-06
0.06,10,32.833336,6.6,0.0,6.999806,-5.830628e-05,1.42309e-06,-7.566806743852794e-06,-3.6714482121169567e-07,2.534025043132715e-07
0.06,10,33.0,6.6,0.0,6.9998083,-5.721751e-05,1.3947429e-06,-4.4719199649989605e-06,4.460322088561952e-06,-9.56967932097541e-06
0.06,10,33.166664,6.6,0.0,6.9998107,-5.6156685e-05,1.3623794e-06,-2.436773866065778e-05,4.378533049020916e-06,9.834762408900133e-07
0.06,10,33.333332,6.6,0.0,6.9998136,-5.5119617e-05,1.3367971e-06,-7.619793905178085e-06,-1.615917426533997e-06,5.992570265789254e-06
0.06,10,33.5,6.6,0.0,6.999816,-5.410861e-05,1.3070239e-06,9.887400665320456e-06,4.5076958485879e-06,-1.1972300967499905e-05
0.06,10,33.666668,6.6,0.0,6.9998183,-5.3116248e-05,1.2759119e-06,9.164403309114277e-06,-6.499962182715535e-06,3.393977920040925e-06
0.06,10,33.833332,6.6,0.0,6.999821,-5.2147592e-05,1.2478849e-06,6.593527359655127e-06,3.4300319384783506e-06,1.5210946457955288e-07
0.06,10,34.0,6.6,0.0,6.999823,-5.120111e-05,1.2148521e-06,7.752511010039598e-06,1.2950134987477213e-05,3.79696649588368e-06
0.06,10,34.166668,6.6,0.0,6.999826,-5.0275397e-05,1.1966331e-06,-1.1958163668168709e-05,7.436494342982769e-06,7.594575549774163e-06
0.06,10,34.333336,6.6,0.0,6.999828,-4.9371207e-05,1.1669326e-06,-9.231331205228344e-06,-2.3276734282262623e-06,8.276123821815418e-07
0.06,10,34.5,6.6,0.0,6.9998302,-4.8486647e-05,1.1425291e-06,1.5194382285699248e-07,6.009962817188352e-06,5.083560836283141e-06
