flow_time,time_step,group_id,x_centroid,y_centroid,z_centroid,major_radius,tube_circulation,impulse_x,impulse_norm,impulse_radius,length_strength,vector_circulation_x,vector_circulation_y,vector_circulation_z,max_strength
3.6,180,0,3.018970803947383,-0.003201846764221136,-0.006529977372988458,1.0058961258179484,3.2222671285451883,9.887836341045384,9.887920262624355,0.9710473478705246,20.36547503951943,-5.0668223919192457e-05,6.880502581019243e-06,0.00023615664586884577,0.013881381422530696
3.7,185,0,3.0975818555134675,-0.0036552193581085284,-0.006338598675640404,1.0058455899800742,3.222248525022833,9.887854667996587,9.887940785133749,0.9711037574891745,20.364334313151858,-5.115109807429796e-05,7.303607138631207e-06,0.00023606627087513488,0.013713611208576077
3.8,190,0,3.1760159566222224,-0.004236724432857697,-0.0062530967727997796,1.005824782548961,3.2221931492367575,9.888052080192375,9.888147978287856,0.9711608855352595,20.36356308324333,-5.159045272390113e-05,7.690646953051328e-06,0.00023584437776857925,0.01475871023905172
3.9,195,0,3.2543009569062287,-0.004710162602041626,-0.006312746726678805,1.0058753090373134,3.2225482432851553,9.888317201164249,9.88841597328313,0.9710314123273527,20.366830254404917,-5.199160684453419e-05,8.010627732701892e-06,0.00023562743200233882,0.014971126343023562
4.0,200,0,3.332381156156904,-0.0052997145711991215,-0.006258257471888013,1.0059151321314002,3.2222203639162386,9.888284193573963,9.888378868203864,0.9710881304317588,20.3655642743926,-5.232093055834719e-05,7.955954304250668e-06,0.00023531046559432944,0.013997503292461773
4.1,205,0,3.410247164160899,-0.005813239380225208,-0.006276480905717781,1.0059442302863277,3.222163664765398,9.888199763209524,9.88829720085459,0.9710691078443735,20.36579502112906,-5.2616660467408316e-05,7.702599794434661e-06,0.00023514110638567232,0.01368417315785891
4.2,210,0,3.487883052114776,-0.006355693953277116,-0.006216714299142614,1.0059546250708642,3.222061697031206,9.888033119269616,9.888140849915143,0.9710744497949192,20.365360971042776,-5.29161330325989e-05,7.3572994701009975e-06,0.00023514943507230157,0.013768627258582971
4.3,215,0,3.56534701457392,-0.0069788096413381335,-0.006167922558413274,1.005898706472527,3.2220973432855313,9.887976605667923,9.88808619266591,0.971112320930317,20.364454202770716,-5.3277611959362536e-05,6.993481857620054e-06,0.00023523495521393656,0.014887420043391896
4.4,220,0,3.6426981156888893,-0.007498916433301547,-0.006086443143276874,1.00590149903724,3.2222911280448328,9.887967726309274,9.888069051578427,0.9710495402416739,20.36573550947255,-5.368391402635342e-05,6.711897120759147e-06,0.00023521172069562724,0.014956654664322486
4.5,225,0,3.7198213494024968,-0.008010195888122375,-0.006075118410250068,1.005960399229023,3.221669707419144,9.888155702257867,9.888262560958921,0.9711989826974715,20.363000244284883,-5.393775985040872e-05,6.540147496458815e-06,0.00023520307331637014,0.014072970015951149
4.6,230,0,3.7967712885327347,-0.008516634552873808,-0.006074676090682555,1.0059244918106853,3.2219982197554646,9.888026872063756,9.8881468619758,0.9711232614626398,20.36434972648672,-5.4151815877451215e-05,6.275209134543047e-06,0.00023528955573248744,0.013322101694102532
4.7,235,0,3.873601231679526,-0.009102280804726188,-0.006108055610386464,1.0059526984678646,3.2220058978817465,9.888201175746484,9.888319479786894,0.9711106696915441,20.36496928393906,-5.435894975165667e-05,6.175376179307079e-06,0.0002353626403879261,0.013627502980550802
4.8,240,0,3.950224790882634,-0.009673867039126233,-0.0061914365127555,1.0059336864591348,3.222264643065938,9.888395028543881,9.888507622049113,0.971069518607076,20.366219786681,-5.465788706970898e-05,6.330492009709587e-06,0.00023546110189731628,0.014488192637334448
4.9,245,0,4.026728427728153,-0.010166295492030936,-0.0061559043933686755,1.0058860743851927,3.222523267349213,9.888448073225156,9.888566795911817,0.9710433564053756,20.366890377619136,-5.4963694266274565e-05,6.4526760947813955e-06,0.00023551376265276702,0.015144901300558785
5.0,250,0,4.103115572575885,-0.010682447934046213,-0.006161060732392994,1.0059288379032296,3.2220735068007778,9.888377945285708,9.888503993743171,0.9711314477975381,20.36491355762321,-5.534684398134093e-05,6.5371452739881875e-06,0.00023563985893115813,0.014634778869084231
5.1,255,0,4.179252573204867,-0.011143619612797202,-0.006187993654192165,1.0059591552905354,3.2219878386901777,9.888297803330058,9.888422951157308,0.9711200412649782,20.364985853400114,-5.585065233748576e-05,6.6691895543868895e-06,0.00023563116785840776,0.013503912678045852
5.2,260,0,4.255172314273872,-0.011678840382297707,-0.006202667645700272,1.005994365048776,3.2216086212356,9.888414174876154,9.888539372639748,0.9712117936602429,20.363301675677626,-5.619781125620893e-05,6.766406655422941e-06,0.00023577062366797463,0.013280894301117185
