run,time,step,x,radius,vorticity,n_peaks,raw_n_peaks,cluster_n_peaks,cluster_x_span,cluster_radius_span,strongest_peak_pair_bridge_ratio,peak_rank
p_moments,3.9,1040,4.719993591308594,1.1999999284744263,0.41058090209960946,3,3,1,"[4.719993591308594, 4.719993591308594]","[1.1999999284744263, 1.1999999284744263]",0.10628582136858503,0
p_moments,3.9,1040,5.379992961883545,0.8199999928474426,0.29894527435302737,3,3,1,"[5.379992961883545, 5.379992961883545]","[0.8199999928474426, 0.8199999928474426]",0.10628582136858503,1
p_moments,3.9,1040,5.059993267059326,1.059999942779541,0.04115878582000733,3,3,1,"[5.059993267059326, 5.059993267059326]","[1.059999942779541, 1.059999942779541]",0.10628582136858503,2
p_moments,4.05,1080,4.839993476867676,1.159999966621399,0.382407569885254,2,3,1,"[4.839993476867676, 4.839993476867676]","[1.159999966621399, 1.159999966621399]",0.042182310340634355,0
p_moments,4.05,1080,5.599992752075195,0.8799999952316284,0.3210361480712891,2,3,2,"[5.599992752075195, 5.8999924659729]","[0.699999988079071, 0.8799999952316284]",0.042182310340634355,1
p_moments,4.2,1120,4.999993324279785,1.1399999856948853,0.3450800323486329,2,2,1,"[4.999993324279785, 4.999993324279785]","[1.1399999856948853, 1.1399999856948853]",0.017526162071670435,0
p_moments,4.2,1120,5.819992542266846,0.9199999570846558,0.33068229675292976,2,2,1,"[5.819992542266846, 5.819992542266846]","[0.9199999570846558, 0.9199999570846558]",0.017526162071670435,1
p_moments,4.35,1160,5.999992370605469,0.9799999594688416,0.3369507217407227,2,3,1,"[5.999992370605469, 5.999992370605469]","[0.9799999594688416, 0.9799999594688416]",0.008268471090017422,0
p_moments,4.35,1160,5.199993133544922,1.059999942779541,0.31667034149169926,2,3,2,"[5.059993267059326, 5.199993133544922]","[1.0199999809265137, 1.059999942779541]",0.008268471090017422,1
p_moments,4.5,1200,6.1399922370910645,1.0399999618530273,0.3389360427856446,2,2,1,"[6.1399922370910645, 6.1399922370910645]","[1.0399999618530273, 1.0399999618530273]",0.0056893875647767945,0
p_moments,4.5,1200,5.279993057250977,1.0399999618530273,0.3097116851806641,2,2,1,"[5.279993057250977, 5.279993057250977]","[1.0399999618530273, 1.0399999618530273]",0.0056893875647767945,1
p_moments,4.65,1240,6.299992084503174,1.0799999237060547,0.3408158874511719,2,3,1,"[6.299992084503174, 6.299992084503174]","[1.0799999237060547, 1.0799999237060547]",0.02546022590600145,0
p_moments,4.65,1240,5.539992809295654,0.9799999594688416,0.2881718254089356,2,3,2,"[5.419992923736572, 5.539992809295654]","[0.9199999570846558, 0.9799999594688416]",0.02546022590600145,1
p_moments,4.8,1280,6.419991970062256,1.1399999856948853,0.3487747192382813,2,2,1,"[6.419991970062256, 6.419991970062256]","[1.1399999856948853, 1.1399999856948853]",0.04691867429192965,0
p_moments,4.8,1280,5.639992713928223,0.9399999976158142,0.27549377441406253,2,2,1,"[5.639992713928223, 5.639992713928223]","[0.9399999976158142, 0.9399999976158142]",0.04691867429192965,1
p_moments,4.95,1320,6.539991855621338,1.1999999284744263,0.3491109848022461,2,2,1,"[6.539991855621338, 6.539991855621338]","[1.1999999284744263, 1.1999999284744263]",0.07698435979797463,0
p_moments,4.95,1320,5.859992504119873,0.8199999928474426,0.25442836761474613,2,2,1,"[5.859992504119873, 5.859992504119873]","[0.8199999928474426, 0.8199999928474426]",0.07698435979797463,1
p_moments,5.1,1360,6.619991779327393,1.2400000095367432,0.35111625671386726,2,2,1,"[6.619991779327393, 6.619991779327393]","[1.2400000095367432, 1.2400000095367432]",0.0899444071900591,0
p_moments,5.1,1360,6.179992198944092,0.7799999713897705,0.23327060699462893,2,2,1,"[6.179992198944092, 6.179992198944092]","[0.7799999713897705, 0.7799999713897705]",0.0899444071900591,1
p_moments,5.25,1400,6.679991722106934,1.2599999904632568,0.3457266998291016,2,3,1,"[6.679991722106934, 6.679991722106934]","[1.2599999904632568, 1.2599999904632568]",0.1840641858299783,0
p_moments,5.25,1400,6.539991855621338,0.7599999904632568,0.21937831878662112,2,3,2,"[6.3799920082092285, 6.539991855621338]","[0.6399999856948853, 0.7599999904632568]",0.1840641858299783,1
p_moments,5.4,1440,6.739991664886475,1.2400000095367432,0.3287056732177735,2,2,1,"[6.739991664886475, 6.739991664886475]","[1.2400000095367432, 1.2400000095367432]",0.27030523678426677,0
p_moments,5.4,1440,6.859991550445557,0.7599999904632568,0.21092096328735355,2,2,1,"[6.859991550445557, 6.859991550445557]","[0.7599999904632568, 0.7599999904632568]",0.27030523678426677,1
