# time=0.018
position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,vorticity_x,vorticity_y,vorticity_z
-6.8333335,0.0,0.0,6.987302,-1.8859237e-07,5.1633997e-06,0.0003872150555253029,-9.40539175644517e-05,-0.0001104397720155248
-6.6666665,0.0,0.0,6.9866366,-1.9367099e-07,5.2951727e-06,0.00030232593417167664,7.47216836316511e-06,-7.226362799883645e-05
-6.5,0.0,0.0,6.9859295,-1.2268401e-07,5.743793e-06,0.0001751147210597992,-5.5806332966312766e-05,-7.564042743979371e-05
-6.3333335,0.0,0.0,6.985176,-1.6226704e-07,5.788006e-06,0.0001463666558265686,-0.0001524231629446149,-7.793576583026152e-05
-6.166667,0.0,0.0,6.9843736,-1.4874422e-07,5.9501754e-06,0.00031539425253868103,0.00011943797289859504,2.3443560166924726e-05
-6.0,0.0,0.0,6.9835196,-2.0489188e-07,5.849136e-06,0.0004366878420114517,-5.4187643399927765e-05,0.00015170030064837192
-5.833333,0.0,0.0,6.982609,-1.5045134e-07,5.507599e-06,0.0004132874310016632,3.830737841781229e-05,1.638476715015713e-05
-5.6666665,0.0,0.0,6.981639,-1.9674599e-07,5.2128516e-06,0.0005735419690608978,0.00021058479615021497,0.00022134225810077623
-5.5,0.0,0.0,6.980605,-2.1059532e-07,1.7039729e-06,0.000374501571059227,-0.00010816221038112417,6.591994974769477e-05
-5.333333,0.0,0.0,6.9795036,-2.1698861e-07,5.1234747e-07,0.0007062181830406189,-8.818478818284348e-05,3.421797646296909e-05
-5.166667,0.0,0.0,6.9783297,-2.505044e-07,7.0853093e-07,0.0005561038851737976,0.00045310749555937946,0.00022055481258576037
-5.0,0.0,0.0,6.9770803,-2.8731074e-07,7.3377305e-07,0.0010586213320493698,6.0247883084230125e-05,1.7794016002881108e-05
-4.8333335,0.0,0.0,6.9757514,-2.7453643e-07,9.623982e-07,0.0006609838455915451,-0.00036781883682124317,-8.300906029035104e-05
-4.666667,0.0,0.0,6.9743376,-3.651421e-07,1.047134e-06,0.0010631009936332703,-3.1852468964643776e-06,3.807848270298564e-05
-4.5,0.0,0.0,6.9728374,-4.772555e-07,6.206237e-07,0.0009100101888179779,0.00012544947094283998,0.00023827244331187103
-4.333333,0.0,0.0,6.971247,-5.001689e-07,6.552309e-07,0.0010230690240859985,0.00019970240828115493,-9.939861865859712e-05
-4.1666665,0.0,0.0,6.9695663,-6.102432e-07,6.559658e-07,0.0012678653001785278,-0.00042095829849131405,-9.67687942647899e-05
-4.0,0.0,0.0,6.9677954,-7.0904025e-07,6.2065556e-07,0.0012465864419937134,-3.063456097152084e-05,-0.00010402457974123536
-3.833333,0.0,0.0,6.965938,-8.215161e-07,7.7379354e-07,0.0014431476593017578,0.00012677682389039546,-0.00013908257460570894
-3.666667,0.0,0.0,6.964001,-1.1926595e-06,-7.302233e-07,0.0022396594285964966,-9.858001430984586e-05,-0.00031557703005091753
-3.5,0.0,0.0,6.9619994,-1.4245802e-06,-1.5299302e-06,0.0019083842635154724,-0.00021779173403047025,-6.611238950426923e-05
-3.333334,0.0,0.0,6.9599533,-1.7705052e-06,-2.6495318e-06,0.0022026896476745605,6.415163807105273e-05,-0.0002506249693396967
-3.166667,0.0,0.0,6.9578958,-2.0853731e-06,4.9927085e-06,0.0021415427327156067,0.0003370623162481934,-0.0004959025654898142
-3.0,0.0,0.0,6.9558773,-2.6391149e-06,5.467713e-06,0.002139173448085785,0.0004775088164024055,-6.492445572803263e-05
-2.833333,0.0,0.0,6.9539695,-3.2127932e-06,7.2511284e-08,0.0033148974180221558,-0.00034021903411485255,-0.00010290745922247879
-2.666666,0.0,0.0,6.9522786,-3.8762932e-06,-5.8826754e-07,0.0031719207763671875,0.0005353389424271882,0.00010091204603668302
-2.5,0.0,0.0,6.950957,1.0282747e-07,1.0997464e-06,0.00379113107919693,-0.0008014541817829013,5.297897951095365e-05
-2.333333,0.0,0.0,6.9502234,1.8902256e-07,1.589433e-07,0.004284709692001343,-0.0004329936928115785,-1.981410059670452e-05
-2.166667,0.0,0.0,6.950389,2.1037886e-07,-1.4511588e-06,0.004177778959274292,-1.5014957170933485e-06,-0.00015371964218502399
-2.0,0.0,0.0,6.9518976,2.2996892e-07,-2.204867e-06,0.00518740713596344,0.0005330049316398799,0.00016220786710618995
-1.833334,0.0,0.0,6.9553747,7.524977e-08,-5.273493e-06,0.005713164806365967,-0.00019603059627115726,0.0001683652590145357
-1.666667,0.0,0.0,6.961695,1.9097274e-07,-8.897461e-06,0.00616048276424408,-0.000940099242143333,-9.706359924166463e-05
-1.5,0.0,0.0,6.9720592,3.4931054e-07,-1.3395973e-05,0.005464911460876465,8.867044380167499e-05,0.0002958077056973707
-1.333333,0.0,0.0,6.98806,-1.155488e-07,-1.8693543e-05,0.005471318960189819,-0.00021800430840812624,-0.00025861373615043703
-1.166666,0.0,0.0,7.01169,-1.8968512e-07,-2.361202e-05,0.003932207822799683,-9.57194424699992e-06,0.0002309996598341968
-1.0,0.0,0.0,7.045163,5.7750185e-08,-2.8104409e-05,0.0024417638778686523,-0.0007153922924771905,0.0005522953242689255
-0.833333,0.0,0.0,7.090323,1.8932633e-07,-3.099546e-05,-0.002146124839782715,-7.101065421011299e-05,0.00027898960615857504
-0.666667,0.0,0.0,7.147339,2.5363295e-07,-3.231687e-05,-0.005252629518508911,-0.0007383991178357974,-0.0006755159702152014
-0.5,0.0,0.0,7.212587,2.327372e-07,-3.051809e-05,-0.007142752408981323,-0.00012653181329369545,0.0006243746938707773
-0.33333397,0.0,0.0,7.2765718,2.093617e-07,-2.5831792e-05,0.001877129077911377,-1.7276121070608497e-05,0.0003696559724630788
-0.16666698,0.0,0.0,7.3244066,1.3988723e-07,-1.8193776e-05,0.02383321523666382,-0.0013382636243477464,-0.0014690378884552047
