time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total
0.7875,126,18.063283258607633,-18.063283258607633,0.0,-2.2335598e-06,1.2173875e-06,0.13595754,-0.04386506259770577,0.03040548175418821,-7.547394741951429e-05,0.1359575390815735,-0.1359575390815735,0.3920000000000001,0.019200853569933066,-48.565840004865564,25.24678006384296,-0.08356207509671895,-53.88760213254171,14.869307442548504,-0.08352564091009804,-9.585055522620678e-07,-4.040350177092478e-06,0.0,25200
0.825,132,18.015747135644915,-18.015747135644915,0.0,1.4354661e-07,1.4394623e-06,0.13559975,-0.043392182527905186,0.012203670352304796,-7.513050870684334e-05,0.135599747300148,-0.135599747300148,0.3920000000000001,0.019200853569933066,-48.04228397983379,10.133152431102012,-0.08318183194685674,-42.03677537587352,-0.00025557930240094074,-0.08304473522044405,-5.340098141459748e-09,-4.6405839384533465e-06,0.0,26400
0.8625,138,17.98499545524927,-17.98499545524927,0.0,3.6460324e-07,4.426763e-07,0.13536829,-0.030274452366631673,-0.00035636205165766126,-7.647612029020785e-05,0.13536828756332397,-0.13536828756332397,0.3920000000000001,0.019200853569933066,-33.51879885268093,-0.2959004042112085,-0.08467164531987569,-19.741522767875377,-4.269746969420243,-0.08469127665093472,4.5547494664788246e-08,-4.602139233611524e-05,0.0,27600
0.9,144,18.146666975526703,-18.146666975526703,0.0,-1.118342e-07,2.02044e-07,0.13658515,-0.012292435358605322,1.6499168903283817e-06,-7.524531594709421e-05,0.13658514618873596,-0.13658514618873596,0.3920000000000001,0.019200853569933066,-13.609748021365007,0.0013699861488957518,-0.08330894244736053,0.00025234161546790283,4.538031796666589,-0.08330679142116637,-6.490154191851616e-09,-3.831334106507711e-05,0.0,28800
0.9375,150,18.0782007833473,-18.0782007833473,0.0,-2.6959628e-07,3.0945193e-07,0.13606982,0.00035852769250153916,0.013113159602353921,-7.318258477542965e-05,0.13606981933116913,-0.13606981933116913,0.3920000000000001,0.019200853569933066,0.39694913263965304,10.888334514781935,-0.08102515972545123,5.723102886907608,21.274371865064392,-0.08104594339619732,-2.7811620384454727e-07,-3.9421342080459e-05,0.0,30000
0.975,156,18.026026072399837,-18.026026072399837,0.0,2.1068242e-07,1.1877287e-06,0.13567711,2.6974691209048267e-07,0.031206519148653758,-7.004047578358835e-05,0.13567711412906647,-0.13567711412906647,0.3920000000000001,0.019200853569933066,0.00029865420447566164,25.91191061775039,-0.07754632820125787,-6.008639727328594,36.051101963510135,-0.0776555806332404,-5.099536792840809e-09,-4.034258017782122e-05,0.0,31200
1.0125,162,18.00028913522457,-18.00028913522457,0.0,-1.091503e-06,-3.7800955e-06,0.1354834,-0.01305542952151548,0.04371273290810157,-7.046308119433857e-05,0.13548339903354645,-0.13548339903354645,0.3920000000000001,0.019200853569933066,-14.4545080706184,36.29627587033165,-0.07801422190864675,-28.243489057010503,40.27349892848554,-0.07797714188891286,-4.356552381068468e-07,-3.982049383921549e-05,0.0,32400
1.05,168,18.206903287103216,-18.206903287103216,0.0,2.2291439e-05,3.212786e-06,0.13703853,-0.03152156419115599,0.04385993576834398,-7.472399008908847e-05,0.13703852891921997,-0.13703852891921997,0.3920000000000001,0.019200853569933066,-34.8995567896636,36.41850377210784,-0.08273174896555685,-48.55473024959422,31.86680092238615,-0.08036794392818412,6.3787156250327826e-06,-4.128441651118919e-05,0.0,33600
1.0875,174,18.08010135716947,-18.08010135716947,0.0,2.4448175e-06,-3.6311467e-06,0.13608412,-0.043902800218679025,0.030434388882173365,-7.003363878565196e-05,0.13608412444591522,-0.13608412444591522,0.3920000000000001,0.019200853569933066,-48.60762175904109,25.270782706143407,-0.07753875851987072,-53.93433707039325,14.883645768277399,-0.0778130156851952,4.651956260204315e-07,-3.395092790015042e-05,0.0,34800
1.125,180,18.024113619991276,-18.024113619991276,0.0,4.7211017e-08,-1.0091028e-06,0.13566272,-0.04340910897337806,0.01221063497178878,-6.812104181834515e-05,0.1356627196073532,-0.1356627196073532,0.3920000000000001,0.019200853569933066,-48.06102433933643,10.138935408584887,-0.07542119905894175,-42.052724879654114,0.0008220458407852911,-0.07552395995695811,-1.4888428268022835e-09,-3.361189737915993e-05,0.0,36000
1.1625,186,18.02129839501718,-18.02129839501718,0.0,-2.4769824e-06,-4.62961e-06,0.13564153,-0.0303344564727406,-0.00035694922809822565,-6.891375808054594e-05,0.13564153015613556,-0.13564153015613556,0.3920000000000001,0.019200853569933066,-33.58523326869094,-0.2963879582178658,-0.07629886636133178,-19.78014708330726,-4.278256552637721,-0.07622766218266026,-7.351627573370934e-07,-3.1897390726953745e-05,0.0,37200
1.2,192,18.220367664774678,-18.220367664774678,0.0,5.0424096e-06,5.070173e-07,0.13713987,-0.012342254589549661,8.218674894033895e-07,-7.566440802971418e-05,0.13713987171649933,-0.13713987171649933,0.3920000000000001,0.019200853569933066,-13.664906105177586,0.000682426541185522,-0.08377294632257423,0.0003628256290811261,4.5557707901097695,-0.08429826725127222,1.7246638890355825e-06,-3.083218325627968e-05,0.0,38400
1.2375,198,18.07629427023193,-18.07629427023193,0.0,-4.0172233e-07,-1.7844097e-06,0.13605547,0.00035963315090421105,0.01311080864140694,-6.781721518157273e-05,0.13605546951293945,-0.13605546951293945,0.3920000000000001,0.019200853569933066,0.39817305693695937,10.886382426193206,-0.07508481299320117,5.72376980772229,21.271329703358223,-0.07488751369998028,-2.047454472631216e-07,-2.756735193543136e-05,0.0,39600
1.275,204,18.020544104781507,-18.020544104781507,0.0,3.7557297e-07,-1.3699203e-06,0.13563585,1.8910345242044336e-06,0.031196308043471347,-6.385911089368105e-05,0.1356358528137207,-0.1356358528137207,0.3920000000000001,0.019200853569933066,0.0020936862894387616,25.90343196482743,-0.07070254044679487,-6.005014480075793,36.039539251849256,-0.07054954464994814,-6.5770109358709306e-09,-2.8847221983596683e-05,0.0,40800
