checkpoint,status,path,particle_kernel,dt_factor,dt,steps,horizon,method,wall_time_s,source_particles,selected_particles,anchor,source_strength_max,selected_strength_max,external_forcing_available,replay_class,position_error,strength_error,strength_magnitude_error,strength_angle_mean_deg,strength_error_p95,strength_error_max,excess_growth,velocity_evaluations,gradient_evaluations,fused_evaluations,pairwise_stretching_sweeps,tree_builds,tree_refits,tree_traversals,kernel_launches,synchronisations,host_device_transfers
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,coupled_rk3,0.020187011978123337,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,3.6659633117798526e-05,4.06633481430844e-06,6.459036335636995e-07,0.0003123740628429152,1.6161178210174485e-05,1.701823049910564e-05,1.6402715750441588e-07,30,0,0,30,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,coupled_rk4_reference,0.02629177999915555,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,1.3836188609360625e-06,5.264818387573822e-08,1.1220068720724634e-08,3.1506379343783973e-06,1.3271227891167613e-07,1.5758309290457648e-07,-8.832823733691578e-09,40,0,0,40,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,reuse_stage_gradients,0.018723710032645613,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,0.0002562703035107399,0.0002541928229947817,0.00015513514353353113,0.012026239186755829,0.0004777242828909619,0.0005075882560924262,-3.5841493190232e-05,30,30,0,0,0,0,0,0,0,0
leapfrog_late_150,completed,tutorials/vpm/vortex_interactions/solution/leapfrog_les/vpm_000150.h5,GAUSSIAN,2.0,0.015597184423005747,10,0.15597184423005747,averaged_gradient_exponential,0.03828625299502164,14080,32,10669,0.011478795597065734,0.011478795597065734,False,isolated_local_neighbourhood,0.0002564247853303489,0.0002584969051894175,0.00015528267764816493,0.012452482893455746,0.0005051819877418125,0.0005320998941406149,-3.55918307542025e-05,30,30,0,0,0,0,0,0,0,0
rotor_healthy_515,completed,tutorials/vpm/rotor_flow/solution/vpm_rotor_000515.h5,WINCKELMANS,0.5,0.003,10,0.03,fractional_x_gamma,0.022769017959944904,69525,32,9370,13.844846346390131,13.844846346390131,False,isolated_local_neighbourhood,3.5733393902909325e-05,9.436632799547277e-05,3.7197338949821345e-05,0.02697599325194113,0.0011417824540403236,0.001143479122269038,-5.521778848770642e-07,30,0,0,30,0,0,0,0,0,0
rotor_healthy_515,completed,tutorials/vpm/rotor_flow/solution/vpm_rotor_000515.h5,WINCKELMANS,0.5,0.003,10,0.03,fractional_gamma_x,0.022561202000360936,69525,32,9370,13.844846346390131,13.844846346390131,False,isolated_local_neighbourhood,3.586807254526107e-05,9.488028407510487e-05,3.711521947136232e-05,0.02703963487348496,0.0011440101984513183,0.0011492454401967316,4.204378052272499e-07,30,0,0,30,0,0,0,0,0,0
rotor_healthy_515,completed,tutorials/vpm/rotor_flow/solution/vpm_rotor_000515.h5,WINCKELMANS,0.5,0.003,10,0.03,parallel_lagged,0.022323736979160458,69525,32,9370,13.844846346390131,13.844846346390131,False,isolated_local_neighbourhood,3.5045131926415024e-05,9.543897398266884e-05,3.7391111420834576e-05,0.027117251193372018,0.0011431341302849392,0.0011628953745441467,8.663568826464818e-07,30,0,0,30,0,0,0,0,0,0
rotor_healthy_515,completed,tutorials/vpm/rotor_flow/solution/vpm_rotor_000515.h5,WINCKELMANS,0.5,0.003,10,0.03,strang_x_gamma_x,0.028823144966736436,69525,32,9370,13.844846346390131,13.844846346390131,False,isolated_local_neighbourhood,1.2647454058092015e-07,6.521723684426617e-07,2.461985133505903e-07,0.00013885400220863987,6.583399544068317e-06,7.378948806049445e-06,1.3706559391823673e-07,60,0,0,30,0,0,0,0,0,0
rotor_healthy_515,completed,tutorials/vpm/rotor_flow/solution/vpm_rotor_000515.h5,WINCKELMANS,0.5,0.003,10,0.03,strang_gamma_x_gamma,0.037986185983754694,69525,32,9370,13.844846346390131,13.844846346390131,False,isolated_local_neighbourhood,2.0435147380315804e-07,7.003524929939193e-07,3.1296170996862084e-07,0.00015272330799733354,7.5002416267523345e-06,8.858892989886462e-06,-1.753369805406647e-07,30,0,0,60,0,0,0,0,0,0
rotor_healthy_515,completed,tutorials/vpm/rotor_flow/solution/vpm_rotor_000515.h5,WINCKELMANS,0.5,0.003,10,0.03,coupled_rk2,0.0144508570083417,69525,32,9370,13.844846346390131,13.844846346390131,False,isolated_local_neighbourhood,3.187586566756922e-06,1.3228032879121363e-06,3.444771857790842e-07,0.0003914914460665691,1.8969047533172416e-05,2.2113469366855434e-05,6.359576107790005e-08,20,0,0,20,0,0,0,0,0,0
rotor_healthy_515,completed,tutorials/vpm/rotor_flow/solution/vpm_rotor_000515.h5,WINCKELMANS,0.5,0.003,10,0.03,coupled_rk3,0.022299276024568826,69525,32,9370,13.844846346390131,13.844846346390131,False,isolated_local_neighbourhood,3.294206561579916e-08,5.408721679801718e-09,3.891230082953823e-09,1.8023367615411955e-06,9.348108008459345e-08,1.2577830678250452e-07,5.742677443037788e-10,30,0,0,30,0,0,0,0,0,0
