case,case_class,mode,method,steps,dt,wall_time_s,finite,position_error,strength_error,strength_magnitude_error,strength_angle_mean_deg,strength_error_p95,strength_error_max,excess_growth,velocity_evaluations,gradient_evaluations,fused_evaluations,pairwise_stretching_sweeps,tree_builds,tree_refits,tree_traversals,kernel_launches,synchronisations,host_device_transfers,affine_map_error,nonaffine_residual,cloud_covariance_condition,gradient_trace_max,inverse_error,deformation_determinant_error,seed,chi_s_imposed
random_20260980,random_history,DIRECT,averaged_gradient_exponential,8,0.125,,True,0.004520240797258468,0.00492063218061062,0.003985996804299889,0.14570050426230433,0.00679406780831734,0.00679406780831734,-0.0003783240733978493,24,24,0,0,0,0,0,0,0,0,,,,,,,20260980,0.15297847435595632
random_20260980,random_history,DIRECT,averaged_gradient_exponential,16,0.0625,,True,0.000661826367514987,0.0012598515088225184,0.0010227248290450137,0.036623443500365886,0.0017066724196480878,0.0017066724196480878,-0.0001840621449686872,48,48,0,0,0,0,0,0,0,0,,,,,,,20260980,0.07648923717797816
random_20260981,random_history,DIRECT,fractional_x_gamma,1,1.0,,True,0.35982894166757545,0.3603837492563756,0.08876736786394339,19.334590083335257,0.4822437745739841,0.4822437745739841,0.06950370865997638,3,3,0,0,0,0,0,0,0,0,,,,,,,20260981,1.556894923392067
random_20260981,random_history,DIRECT,fractional_x_gamma,2,0.5,,True,0.31731184343722046,0.2886082960067043,0.1335639212070635,13.359527184093837,0.4096264806953467,0.4096264806953467,0.06875922109341676,6,6,0,0,0,0,0,0,0,0,,,,,,,20260981,0.7784474616960335
random_20260981,random_history,DIRECT,fractional_x_gamma,4,0.25,,True,0.025702266259878266,0.024694074698887163,0.012378974601879903,1.0176080995905095,0.03536224844354775,0.03536224844354775,-0.01730267400069103,12,12,0,0,0,0,0,0,0,0,,,,,,,20260981,0.38922373084801676
random_20260981,random_history,DIRECT,fractional_x_gamma,8,0.125,,True,0.006415786285402324,0.006309230734791002,0.0027213442523429457,0.2904208834728967,0.009210411195012083,0.009210411195012083,-0.0037542447200220068,24,24,0,0,0,0,0,0,0,0,,,,,,,20260981,0.19461186542400838
random_20260981,random_history,DIRECT,fractional_x_gamma,16,0.0625,,True,0.0009645369950232802,0.0009586258148608439,0.00039663471490767753,0.04573717567004104,0.0013646741081339057,0.0013646741081339057,-0.0005520255489272439,48,48,0,0,0,0,0,0,0,0,,,,,,,20260981,0.09730593271200419
random_20260981,random_history,DIRECT,fractional_gamma_x,1,1.0,,True,0.35982894166757545,0.3603837492563756,0.08876736786394339,19.334590083335257,0.4822437745739841,0.4822437745739841,0.06950370865997638,3,3,0,0,0,0,0,0,0,0,,,,,,,20260981,1.556894923392067
random_20260981,random_history,DIRECT,fractional_gamma_x,2,0.5,,True,0.31731184343722046,0.2886082960067043,0.1335639212070635,13.359527184093837,0.4096264806953467,0.4096264806953467,0.06875922109341676,6,6,0,0,0,0,0,0,0,0,,,,,,,20260981,0.7784474616960335
random_20260981,random_history,DIRECT,fractional_gamma_x,4,0.25,,True,0.025702266259878266,0.024694074698887163,0.012378974601879903,1.0176080995905095,0.03536224844354775,0.03536224844354775,-0.01730267400069103,12,12,0,0,0,0,0,0,0,0,,,,,,,20260981,0.38922373084801676
