checkpoint,configuration,rank,checkpoint_index,x0,y0,z0,initial_strength,final_strength,relative_strength_growth,displacement
rotor,production_numerics_unforced,79,64768,1.8197563886642456,0.0361495241522789,-0.9593238234519958,9.090215319516595e-05,9.09200566115333e-05,0.00019695261045038492,0.09542445039536561
rotor,production_numerics_unforced,80,64791,1.8198035955429077,-0.8487256169319153,0.44879910349845886,8.751832570903673e-05,8.753356187786333e-05,0.00017409118265421242,0.09542443450005808
rotor,production_numerics_unforced,81,64796,1.8197569847106934,0.8131598830223083,0.510973334312439,9.08052990411759e-05,9.081813454282698e-05,0.00014135190111819185,0.09542199500135824
rotor,production_numerics_unforced,82,67085,1.0264606475830078,0.9743452072143555,-0.2505391836166382,8.004314882843068e-05,7.859654785854155e-05,-0.01807276439098937,0.09021946055030074
rotor,production_numerics_unforced,83,67091,1.0264239311218262,-0.27000394463539124,0.9691119194030762,8.050552692532587e-05,7.905307049656619e-05,-0.018041698306091813,0.09021137802826909
rotor,production_numerics_unforced,84,67038,1.0264105796813965,-0.7040865421295166,-0.7183811068534851,8.211419303264754e-05,8.062809056895346e-05,-0.018097997542315558,0.090199494474132
rotor,production_numerics_unforced,85,64636,1.8675711154937744,0.08143860101699829,-0.9574175477027893,9.084486224507227e-05,9.087789400580769e-05,0.0003636062614780222,0.09536648358373945
rotor,production_numerics_unforced,86,67200,0.9820002317428589,-0.2231854796409607,0.9863648414611816,8.24287843755776e-05,8.055822187747627e-05,-0.022693073933716112,0.08960191593576126
rotor,production_numerics_unforced,87,64661,1.8675817251205444,-0.8697634935379028,0.4086322486400604,8.854956809294172e-05,8.858661157334971e-05,0.00041833609362296187,0.09535511368163316
rotor,production_numerics_unforced,88,67219,0.9820020198822021,-0.7424098253250122,-0.6864068508148193,8.089672478020266e-05,7.905961447140962e-05,-0.0227093286382668,0.08960108559080097
rotor,production_numerics_unforced,89,64655,1.8674538135528564,0.788869321346283,0.5493535399436951,9.125234098705233e-05,9.128469863545322e-05,0.0003545952690187093,0.09536452498709636
rotor,production_numerics_unforced,90,67205,0.9820341467857361,0.9660475254058838,-0.2997795641422272,8.078992464360928e-05,7.894686095902476e-05,-0.022813038788127016,0.08958805644592967
rotor,production_numerics_unforced,91,68846,0.4775288999080658,0.4025017321109772,0.9994655847549438,8.096579669711576e-05,8.319437907685036e-05,0.02752498549568383,0.08086980833718076
rotor,production_numerics_unforced,92,68795,0.47749361395835876,-1.0667011737823486,-0.1511610597372055,8.254658917964946e-05,8.481981023755973e-05,0.027538643092362758,0.08086066652847733
rotor,production_numerics_unforced,93,68840,0.4774917960166931,0.6643800735473633,-0.8481929302215576,8.42685912474952e-05,8.659031757245313e-05,0.027551502767372282,0.08086004855640394
rotor,production_numerics_unforced,94,67355,0.9379646182060242,0.9551815390586853,-0.3489854335784912,8.185510787774146e-05,7.971266623211276e-05,-0.02617358526762492,0.08895403802803775
rotor,production_numerics_unforced,95,67361,0.9379397034645081,-0.17516209185123444,1.0017365217208862,8.353435898187139e-05,8.134445011634773e-05,-0.02621566613085413,0.08894391769889282
rotor,production_numerics_unforced,96,67297,0.9379222393035889,-0.7797260284423828,-0.6525062918663025,8.197534994171914e-05,7.982713635261402e-05,-0.026205604375369007,0.0889409949568312
rotor,production_numerics_unforced,97,64468,1.915329933166504,0.12677191197872162,-0.9538754224777222,9.124922553868368e-05,9.137816446077127e-05,0.0014130412759825184,0.09527063036184369
rotor,production_numerics_unforced,98,64526,1.9154144525527954,-0.8893066644668579,0.3676403760910034,8.855317960452203e-05,8.868239378636628e-05,0.0014591704377113768,0.0952678075567009
rotor,production_numerics_unforced,99,64520,1.915380597114563,0.7631449103355408,0.5866907835006714,9.201093737056896e-05,9.21414236658532e-05,0.0014181606992949014,0.09526826761753929
rotor,production_numerics_unforced,100,67496,0.8942176699638367,-0.12596698105335236,1.0146255493164062,8.43372458182622e-05,8.198073677339975e-05,-0.02794149870557172,0.08828326004789847
