time,step,surface,force_density,force_units,moment_units,lift,drag,lift_coefficient,drag_coefficient,panel_count,rotational_power,translational_power,power,force_x,force_y,force_z,moment_x,moment_y,moment_z,rotation_centre_x,rotation_centre_y,rotation_centre_z,translation_velocity_x,translation_velocity_y,translation_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,position_x,position_y,position_z,centroid_x,centroid_y,centroid_z
0.055,11,wing_0,1.0,N,N*m,1.352349674295471,0.020397018171655755,0.1690437092869339,0.00254962727145697,4,-0.10745050542439091,0.0,-0.10745050542439091,0.020397018171655755,-0.022315794821012848,1.352349674295471,-0.3581683514146364,-0.276945415954178,-0.02008082428100335,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0008623206929137818,-0.052257117326703593
0.055,11,wing_1,1.0,N,N*m,1.2207825012496187,0.027256319341237775,0.15259781265620237,0.0034070399176547223,4,-0.1050435726019782,0.0,-0.1050435726019782,0.027256319341237775,-0.020144739438904314,1.2207825012496187,-0.350145242006594,-2.18458271144181,-0.04576828889766844,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.001612567005489757,0.09772246438654252
0.06,12,wing_0,1.0,N,N*m,1.3516277871744022,0.020495706420312114,0.1689534733968003,0.0025619633025390147,4,-0.10743718290736319,0.0,-0.10743718290736319,0.020495706420312114,-0.024331928074134507,1.3516277871744022,-0.358123943024544,-0.27726660500399647,-0.02045292099962785,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0009407053693986368,-0.05225576505690331
0.06,12,wing_1,1.0,N,N*m,1.2183380604870884,0.027297957158012434,0.15229225756088607,0.0034122446447515547,4,-0.10500473042733263,0.0,-0.10500473042733263,0.027297957158012434,-0.021932453844948466,1.2183380604870884,-0.3500157680911088,-2.1800455275144146,-0.048883420047689585,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0017591488329631313,0.09771993559918954
0.065,13,wing_0,1.0,N,N*m,1.3509305071599935,0.02059452994731857,0.16886631339499922,0.002574316243414822,4,-0.10742419212505765,0.0,-0.10742419212505765,0.02059452994731857,-0.026346484391173722,1.3509305071599935,-0.35808064041685883,-0.2775976902189901,-0.020826904845024252,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0010190879292967527,-0.052254295211653694
0.065,13,wing_1,1.0,N,N*m,1.2158990221998525,0.027339721100905063,0.15198737777498159,0.0034174651376131333,4,-0.10496594979709657,0.0,-0.10496594979709657,0.027339721100905063,-0.023713036636486218,1.2158990221998525,-0.34988649932365523,-2.1755217353434273,-0.05198548188419165,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.0019057267023523674,0.09771718694202268
0.07,14,wing_0,1.0,N,N*m,1.3502576777637953,0.02069348676088821,0.16878220972047445,0.0025866858451110268,4,-0.10741153264120155,0.0,-0.10741153264120155,0.02069348676088821,-0.028359580213900712,1.3502576777637953,-0.35803844213733854,-0.2779385202269105,-0.021202816949449883,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.0010974681962475365,-0.052252707794261895
0.07,14,wing_1,1.0,N,N*m,1.2134652880611638,0.02738159589300594,0.1516831610076455,0.003422699486625743,4,-0.10492722894153304,0.0,-0.10492722894153304,0.02738159589300594,-0.0254865176775353,1.2134652880611638,-0.34975742980511015,-2.171011072174988,-0.05507454435351161,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.002052300283857334,0.0977142184212264
0.075,15,wing_0,1.0,N,N*m,1.3496091330685225,0.02079257429067984,0.16870114163356534,0.0025990717863349803,4,-0.1073992038954674,0.0,-0.1073992038954674,0.02079257429067984,-0.030371330829101706,1.3496091330685225,-0.35799734631822466,-0.278288939269912,-0.021580697356169826,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49726094768413664,0.001175845993895336,-0.05225100280829959
0.075,15,wing_1,1.0,N,N*m,1.2110367580927375,0.027423566088263764,0.1513795947615922,0.003427945761032971,4,-0.10488856607445081,0.0,-0.10488856607445081,0.027423566088263764,-0.02725292614359475,1.2110367580927375,-0.3496285535815027,-2.1665132726720184,-0.058150675659720194,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.097260947684137,-0.002198869247687613,0.09771103004347993
