time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,force_density,force_units,moment_units,reference_speed,reference_speed_units,power,rotational_power,translational_power
0.105,21,0.3178483155697913,0.006133267265708768,0.010015534797734498,0.049066138125670136,-0.08012427838187597,2.54278652455833,-0.034229131215387815,0.010256859099586367,-0.3255068704446666,-0.7066327851343985,-1.1533735823765578,-0.06030748177943568,2.54278652455833,0.049066138125670136,2.0,3.9999999999999996,-0.044164549070899915,-0.07208584889853488,-0.0037692176112147304,-0.04416454907089991,0.015230107379723318,-0.0010178549150347725,1.4449268375528672,-1.4449268375528672,0.0,378,1.0,N,N*m,2.0,m/s,-0.21198983554031953,-0.21198983554031953,0.0
0.11,22,0.31748844764544915,0.00615102706237754,0.010480923623816082,0.04920821649902031,-0.08384738899052864,2.5399075811635927,-0.03406912810141637,0.010694879978653739,-0.3239696198588341,-0.7064716280949521,-1.1507954291092661,-0.06183209444916366,2.5399075811635927,0.04920821649902031,2.0,3.9999999999999996,-0.044154476755934514,-0.07192471431932915,-0.0038645059030727293,-0.044154476755934514,0.015291149301686135,-0.0009853371894512745,1.4426852224188562,-1.442685222418856,0.0,396,1.0,N,N*m,2.0,m/s,-0.2119414884284856,-0.2119414884284856,0.0
0.115,23,0.3171319561992071,0.006168794112436735,0.010945395419128421,0.049350352899493875,-0.08756316335302736,2.5370556495936563,-0.033907835948980114,0.011127889261395279,-0.3224195339409172,-0.7063116891465038,-1.148222763895011,-0.06335013171727141,2.5370556495936563,0.049350352899493875,2.0,3.9999999999999996,-0.04414448057165649,-0.07176392274343821,-0.003959383232329464,-0.0441444805716565,0.015352779485675698,-0.0009526639948989777,1.4404508571665748,-1.440450857166575,0.0,414,1.0,N,N*m,2.0,m/s,-0.21189350674395113,-0.21189350674395113,0.0
0.12,24,0.31677879785873353,0.006186565465350392,0.011408965822039463,0.049492523722803126,-0.09127172657631569,2.534230382869868,-0.03374530926415311,0.011555849713551326,-0.3208571431972791,-0.7061529569279713,-1.1456553080929304,-0.06486161352146978,2.534230382869868,0.049492523722803126,2.0,3.9999999999999996,-0.044134559807998214,-0.07160345675580816,-0.004053850845091862,-0.044134559807998235,0.015415003544836301,-0.0009198322612493835,1.4382238336730033,-1.438223833673003,0.0,432,1.0,N,N*m,2.0,m/s,-0.21184588707839141,-0.21184588707839141,0.0
0.125,25,0.316428928397783,0.006204338110580981,0.01187165017270858,0.04963470488464784,-0.09497320138166862,2.5314314271822638,-0.03358160251358318,0.011978727222796097,-0.31928297781149306,-0.7059954197660522,-1.1430927864977378,-0.0663665581309405,2.5314314271822638,0.04963470488464784,2.0,3.9999999999999996,-0.04412471373537827,-0.07144329915610863,-0.004147909883183782,-0.044124713735378275,0.015477826645179712,-0.00088683889528191,1.4360042401939033,-1.436004240193904,0.0,450,1.0,N,N*m,2.0,m/s,-0.21179862592981563,-0.21179862592981563,0.0
0.13,26,0.3160823027922829,0.006222108981377517,0.012333463509050877,0.04977687185102013,-0.098667708072407,2.5286584223382627,-0.03341677007932019,0.012396490779146474,-0.3176975672032822,-0.7058390656914526,-1.140534927804647,-0.06786498219325877,2.5286584223382627,0.04977687185102013,2.0,3.9999999999999996,-0.044114941605715795,-0.07128343298779045,-0.004241561387078674,-0.04411494160571581,0.01554125349179376,-0.0008536807847139918,1.4337921613683928,-1.4337921613683928,0.0,468,1.0,N,N*m,2.0,m/s,-0.21175171970743578,-0.21175171970743578,0.0
0.135,27,0.3157388752771884,0.00623987495867621,0.012794420563230052,0.04991899966940967,-0.1023553645058404,2.525911002217507,-0.03325086621360406,0.012809112451455737,-0.31610143958724446,-0.7056838824567442,-1.1379814650726257,-0.06935690078523171,2.525911002217507,0.04991899966940967,2.0,3.9999999999999996,-0.04410524265354652,-0.07112384156703912,-0.004334806299076983,-0.04410524265354654,0.015605288315362103,-0.0008203548023321517,1.4315876782265164,-1.4315876782265171,0.0,486,1.0,N,N*m,2.0,m/s,-0.21170516473702328,-0.21170516473702328,0.0
0.14,28,0.315398599403349,0.00625763287503575,0.013254535758655997,0.050061063000285996,-0.10603628606924796,2.5231887952267917,-0.033083944994240874,0.013216567360240032,-0.3144951215373541,-0.7055298575535354,-1.1354321361801771,-0.07084232746763126,2.5231887952267917,0.050061063000285996,2.0,3.9999999999999996,-0.04409561609709597,-0.07096450851126108,-0.004427645466726955,-0.044095616097095974,0.015669934859151538,-0.0007868578102292037,1.4293908681997791,-1.4293908681997793,0.0,504,1.0,N,N*m,2.0,m/s,-0.2116589572660606,-0.2116589572660606,0.0
0.145,29,0.3150614280946426,0.006275379518636006,0.013713823207498511,0.05020303614908804,-0.10971058565998808,2.5204914247571404,-0.03291606028034327,0.013618833646804789,-0.31287913755513175,-0.7053769782302579,-1.1328866842747438,-0.0723212743436526,2.5204914247571404,0.05020303614908804,2.0,3.9999999999999996,-0.044086061139391126,-0.0708054177671715,-0.004520079646478288,-0.04408606113939114,0.01573519636646919,-0.000753186664133946,1.4272018051346071,-1.4272018051346071,0.0,522,1.0,N,N*m,2.0,m/s,-0.21161309346907736,-0.21161309346907736,0.0
0.15,30,0.314727313705197,0.006293111637322969,0.014172296708711897,0.05034489309858375,-0.11337837366969516,2.5178185096415757,-0.03274726566857801,0.014015892438769436,-0.31125400964286004,-0.7052252315096263,-1.1303448582146265,-0.07379375212107811,2.5178185096415757,0.05034489309858375,2.0,3.9999999999999996,-0.044076576969351654,-0.07064655363841417,-0.004612109507567383,-0.04407657696935167,0.0158010755686089,-0.0007193382178335647,1.4250205593087126,-1.4250205593087129,0.0,540,1.0,N,N*m,2.0,m/s,-0.2115675694528879,-0.2115675694528879,0.0
