time,step,lift_coefficient,drag_coefficient,side_force_coefficient,force_x,force_y,force_z,unsteady_force_x,unsteady_force_y,unsteady_force_z,moment_x,moment_y,moment_z,lift,drag,dynamic_pressure,reference_area,rolling_moment_coefficient,pitching_moment_coefficient,yawing_moment_coefficient,rolling_moment_coefficient_quarter_chord,pitching_moment_coefficient_quarter_chord,yawing_moment_coefficient_quarter_chord,bound_vortex_strength_y,wake_vortex_strength_y,max_leading_edge_suction_parameter,n_particles_total,force_density,force_units,moment_units,reference_speed,reference_speed_units,power,rotational_power,translational_power
1.705,682,0.7024229400011957,0.06077368729779508,2.0744188250752074e-08,-0.55835825,1.9058723e-07,6.4535108,0.0,0.0,0.0,4.987267738282064e-07,-5.189334876513471,-3.873009559936076e-07,6.453510761260986,0.5583582520484924,15.312500000000002,0.6000000000000001,5.428318626701565e-08,-0.9413759413176361,-4.215520609454232e-08,3.931749307987641e-08,0.022724339751159246,-6.637613599499065e-08,-1.0884499549865723,0.5154036881487651,0.0,94422,1.225,N,N*m,5.0,m/s,-0.5242994057678203,-0.024057654985710136,-0.5002417507821102
1.7075,683,0.7032614986912733,0.059779290439320246,5.8084260424849296e-08,-0.54922223,5.3364914e-07,6.461215,0.0,0.0,0.0,8.245986437934632e-07,-5.2500390479956955,-1.2286366731865521e-07,6.461215019226074,0.5492222309112549,15.312500000000002,0.6000000000000001,8.9752233338064e-08,-0.9523880359175861,-1.337291617073798e-08,7.144653802218078e-08,0.013805252083845415,-5.8799636784662186e-08,-1.089552640914917,0.5135155088358616,0.0,94494,1.225,N,N*m,5.0,m/s,-0.5667827757613284,-0.019912775989023218,-0.546869999772305
1.71,684,0.7039847341524499,0.05873085852382944,2.8470330274716127e-08,-0.53958976,2.6157116e-07,6.4678597,0.0,0.0,0.0,6.548884392375e-07,-5.310241887530305,-3.5375915971056035e-07,6.467859745025635,0.5395897626876831,15.312500000000002,0.6000000000000001,7.128037433877549e-08,-0.9633091859465402,-3.8504398335843296e-08,6.505636637713633e-08,0.004910016073391279,-5.1670584219450844e-08,-1.0906555652618408,0.5122552943262748,0.0,94570,1.225,N,N*m,5.0,m/s,-0.6102080463104524,-0.01613488298363433,-0.5940731633268181
1.7125,685,0.7047285741689252,0.0576111670254039,2.9144163762589872e-08,-0.5293026,2.67762e-07,6.474694,0.0,0.0,0.0,6.755494642748093e-07,-5.370401988823648,-3.159549929043629e-07,6.474693775177002,0.5293025970458984,15.312500000000002,0.6000000000000001,7.352919339045541e-08,-0.9742225830065572,-3.438965909163133e-08,5.835733775581631e-08,-0.0038209155438438283,-7.390432680646578e-08,-1.0917572975158691,0.5098891569094433,0.0,94642,1.225,N,N*m,5.0,m/s,-0.6528356869579253,-0.012622831495609776,-0.6402128554623157
1.715,686,0.7053316596413954,0.056486681205074794,3.660452297431746e-08,-0.5189714,3.3630405e-07,6.4802346,0.0,0.0,0.0,8.741233660011088e-07,-5.430595119475211,-1.7458537256015292e-07,6.480234622955322,0.5189713835716248,15.312500000000002,0.6000000000000001,9.514267929263767e-08,-0.9851419717868861,-1.9002489530356777e-08,6.349069908970877e-08,-0.012728451601231715,-5.345403527220089e-08,-1.0928592681884766,0.5073561292739954,0.0,94710,1.225,N,N*m,5.0,m/s,-0.6969810390342217,-0.009443731615916218,-0.6875373074183053
1.7175,687,0.7060364703742824,0.05540949633332336,4.6876600524173014e-08,-0.50907475,4.3067877e-07,6.48671,0.0,0.0,0.0,8.186721051848796e-07,-5.492619491263646,-1.2117467089088429e-07,6.486710071563721,0.5090747475624084,15.312500000000002,0.6000000000000001,8.910716791127939e-08,-0.9963935585058765,-1.3189079824858151e-08,5.2211875868897847e-08,-0.021840489370211984,-5.439248531549965e-08,-1.0939574241638184,0.506451929752183,0.0,94788,1.225,N,N*m,5.0,m/s,-0.7424187134302604,-0.006583345884622838,-0.7358353675456377
1.72,688,0.7068082329367292,0.054282224097219445,4.0816000061264874e-08,-0.49871793,3.74997e-07,6.4938006,0.0,0.0,0.0,9.229980963596732e-07,-5.555348135703693,-4.647936220439645e-09,6.493800640106201,0.49871793389320374,15.312500000000002,0.6000000000000001,1.0046237783506646e-07,-1.0077729044360437,-5.05897819911798e-10,6.91966337411582e-08,-0.030885926720236424,-6.077909322620248e-08,-1.0950558185577393,0.5037393431767689,0.0,94862,1.225,N,N*m,5.0,m/s,-0.7878352421394488,-0.0040566622038135935,-0.7837785799356349
1.7225,689,0.7077616996505632,0.05305398564760376,4.6168769258161564e-08,-0.4874335,4.2417557e-07,6.5025606,0.0,0.0,0.0,9.163885613838361e-07,-5.621267728406979,1.5643585757453636e-08,6.502560615539551,0.4874334931373596,15.312500000000002,0.6000000000000001,9.97429726676284e-08,-1.0197311071940094,1.7027032116956336e-09,6.354375913435098e-08,-0.040079674212570346,-2.0951590164989028e-08,-1.0961527824401855,0.5022540718010333,0.0,94932,1.225,N,N*m,5.0,m/s,-0.8343463522389207,-0.001848782694910206,-0.8324975695440107
1.725,690,0.7083693004789805,0.05197185723959993,2.5517593855022443e-08,-0.47749144,2.344429e-07,6.508143,0.0,0.0,0.0,1.0940102498544998e-06,-5.681604882225174,8.408841827494762e-08,6.508142948150635,0.47749143838882446,15.312500000000002,0.6000000000000001,1.1907594556239451e-07,-1.0306766226258814,9.15248090067457e-09,8.322824375564548e-08,-0.048925746865823946,-1.5847926617276908e-08,-1.0972464084625244,0.5010275731299632,0.0,95002,1.225,N,N*m,5.0,m/s,-0.8785899231679766,5.062151778799373e-05,-0.8786405446857648
1.7275,691,0.7091985689539486,0.050871067306622345,5.9178821830836045e-08,-0.46737793,5.437054e-07,6.515762,0.0,0.0,0.0,9.220727511998421e-07,-5.746157283800157,1.5014382270024678e-07,6.515761852264404,0.4673779308795929,15.312500000000002,0.6000000000000001,1.0036165999454063e-07,-1.0423868088526358,1.6342184783700328e-08,7.680877029490307e-08,-0.05815105373356616,-8.417936485438118e-09,-1.0983405113220215,0.4997968040248379,0.0,95076,1.225,N,N*m,5.0,m/s,-0.9257092609860043,0.0015885548084698387,-0.927297815794474
